,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
1,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
2,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
3,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
4,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
5,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
6,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
7,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
8,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
9,1,1,1.0694297840197882,0.5927333333333333,7.281419992446899,7.731747627258301,0.01,1000,True
10,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
11,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
12,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
13,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
14,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
15,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
16,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
17,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
18,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
19,1,2,0.5679579103986422,0.7844333333333333,8.08417820930481,15.962784767150879,0.01,1000,True
20,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
21,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
22,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
23,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
24,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
25,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
26,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
27,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
28,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
29,1,3,0.48375260680913923,0.8206166666666667,8.929320335388184,25.12703251838684,0.01,1000,True
30,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
31,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
32,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
33,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
34,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
35,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
36,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
37,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
38,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
39,1,4,0.438340026140213,0.839,8.259096622467041,33.66425538063049,0.01,1000,True
40,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
41,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
42,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
43,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
44,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
45,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
46,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
47,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
48,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
49,1,5,0.4062885046005249,0.8519166666666667,8.754032135009766,42.6430025100708,0.01,1000,True
50,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
51,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
52,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
53,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
54,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
55,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
56,2,1,1.0543682783842088,0.6017166666666667,8.084465980529785,8.546035766601562,0.01,1000,False
